timestamp_ms,label,mean_hr_bpm,sdnn_ms,rmssd_ms,pnn20,sd1_ms,sd2_ms,amp_mean,rise_ms_mean,width50_ms_mean
108212,calm,102.6054,276.1307,287.1551,0.8788,203.0403,333.5731,29.2628,330.5714,173.3
161161,calm,117.3221,212.1628,252.303,0.7465,178.4052,241.242,10.4728,341.5972,162.0
216812,calm,120.7103,197.5644,236.7242,0.6977,167.3891,223.7059,7.3549,330.5,158.6
220565,calm,120.7726,196.4407,235.882,0.703,166.7938,222.166,7.2879,330.0746,159.7
223340,calm,120.2423,196.3804,235.0712,0.7074,166.218,222.4906,7.2721,330.625,165.4
226667,calm,119.7743,196.689,235.4335,0.7065,166.4743,222.8439,7.2494,330.8993,154.2
230957,calm,119.2576,197.1755,237.0413,0.7102,167.6114,222.8514,7.2302,330.3158,165.6
237014,calm,119.2218,196.2466,234.6557,0.7119,165.9256,222.4729,7.1749,332.9966,161.5
240239,calm,118.9632,196.0183,233.8247,0.7143,165.3371,222.5083,7.1559,333.3663,162.7
244404,calm,119.6525,194.9848,232.8593,0.7106,164.6563,221.1932,7.1005,334.8562,156.2
248191,calm,119.8017,195.0788,232.4005,0.7075,164.3319,221.5999,7.091,335.5312,166.2
253257,calm,119.923,196.3798,237.5342,0.6991,167.9613,221.1764,7.0463,333.142,161.3
257132,calm,119.9574,195.5969,236.5503,0.7003,167.2662,220.3141,7.0323,336.0177,156.6
264389,stress,120.4025,194.7421,234.9827,0.6934,166.1572,219.6379,7.0107,338.49,157.8
287870,calm,114.7435,282.2294,356.5281,0.6939,252.1031,309.4364,7.1683,333.9895,161.8
330846,calm,107.6204,322.382,393.146,0.6959,277.9961,361.3564,7.438,321.3303,163.6
407209,calm,102.2706,304.0386,367.0263,0.6725,259.5261,342.8194,7.1128,314.1992,172.3
1471985,session_summary,50.9771,911.8741,1374.0044,0.9167,971.4104,848.169,57.5444,257.1428,294.5
1685515,calm,71.908,558.7985,740.3586,0.7083,523.4234,592.0638,42.0436,228.4615,220.8
1994245,calm,84.326,68.926,93.821,0.542,66.3415,71.417,19.1923,276.0382,193.9
2015119,session_summary,82.7675,194.0834,272.4831,0.5461,192.6746,195.4821,19.2065,276.715,202.6
